0,0,0
GM,,
HMC,,
KR,,
MCK,,
MPC,,
PSX,,
T,,
TOT,,
UNH,,
VLO,,
VZ,,
WBA,,
GOOGL,,
MSFT,,
ABC,,
AMZN,,
BA,,
CAH,,
COST,,
CVX,,
F,,
FCAU,,
GM,,
GOOGL,,
HD,,
HMC,,
KR,,
MCK,,
MPC,,
PBR,,
PSX,,
T,,
TOT,,
UNH,,
VLO,,
VZ,,
WBA,,
ABC,,
AMZN,,
BA,,
CAH,,
COST,,
CVX,,
F,,
FCAU,,
GM,,
HMC,,
KR,,
MCK,,
MPC,,
PSX,,
T,,
TOT,,
UNH,,
VLO,,
VZ,,
WBA,,
GOOGL,,
GOOGL,,
ABC,,
AMZN,,
BA,,
CAH,,
COST,,
CVX,,
F,,
FCAU,,
GM,,
GOOGL,,
HD,,
HMC,,
KR,,
MCK,,
MPC,,
PSX,,
T,,
TOT,,
UNH,,
VLO,,
VZ,,
WBA,,
AMZN,,
MCK,,
UNH,,
ANTM,,
LFC,,
